"Ejemplo","Serie","Metodo","MASE_met","MASE_ing"
1,"Nile","media",0.842936731708469,0.835452893848949
2,"discoveries","mm",0.587837837837838,1.13648648648649
3,"Nile","ses",0.806225909774413,0.835452893848949
4,"airmiles","dmm",1.61787917679906,4.49587949202918
5,"austres","lineal",3.97354792573965,6.09122885609282
6,"austres","cuadratica",1.45493296049442,6.09122885609282
7,"airmiles","exponencial",20.80719055503,4.49587949202918
8,"WWWusage","holt",1.89032149869146,7.62467700258398
9,"austres","media",2.86631671651251,3.87923481308411
